Name,Ticker,Date: Morningstar Rating,"Morningstar 
Rating 
Overall","Morningstar 
Fair Value 
Status",Morningstar Fair Value Per Share,Fair Value Uncertainty,"Stock Capital Allocation 
Rating",Date: Economic Moat,Economic Moat,Moat Trend,"Moat Source 
- Cost Advantage","Moat Source 
- Efficient Scale","Moat Source 
- Intangible Assets","Moat Source 
- Network Effect","Moat Source 
- Switch Cost",Morningstar Quantitative Rating Date,Morningstar Quantitative Rating Overall,Date: Quantitative Valuation,Quantitative Moat,Quantitative Valuation,Quantitative Valuation Uncertainty,Quantitative Financial Health,"Quantitative Fair Value 
Estimate 
USD","Morningstar 
Credit Rating 
Date","Morningstar 
Credit Rating",Date: Morningstar Grades,Growth Grade,Profitability Grade,Financial Health Grade,Probability of Default,Solvency Score,Bear Market Rank Decile,"Business Risk 
Pillar","Solvency Score 
Pillar","Cash Flow Cushion 
Pillar",Stress Test Pillar,Momentum Score %,Consider Buying,Consider Selling
Robert Half International Inc,RHI,7/5/2022,3,Active,88,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,Yes,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Strong,92.87,,,7/5/2022,C,A,B,0,,8,,,,,53.64,52.8,136.4
Rockwell Automation Inc,ROK,7/5/2022,5,Active,290,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,268.07,,,7/5/2022,C,A,B,0,473.06,9,,,,,17.61,203,391.5
Rollins Inc,ROL,7/5/2022,2,Active,27.7,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,No,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Strong,31.3,,,7/5/2022,C,A,B,0,257.29,5,,,,,44.34,19.39,37.4
Roper Technologies Inc,ROP,7/5/2022,4,Active,510,Medium,Exemplary,7/5/2022,Wide,Stable,No,Yes,No,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,431.76,,,7/5/2022,C,D,A,0,345.89,6,,,,,44.68,357,688.5
Ross Stores Inc,ROST,7/5/2022,4,Active,99,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,99.29,,,6/30/2022,C,C,,,325.38,4,,,,,16.58,69.3,133.65
Royal Caribbean Group,RCL,7/5/2022,5,Active,80,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,85.82,,,7/5/2022,F,F,D,0.12,975.99,9,,,,,33.53,48,124
S&P Global Inc,SPGI,7/5/2022,4,Active,410,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,Medium,Moderate,411.53,,,7/5/2022,C,A,B,0,281.88,8,,,,,24.49,287,553.5
Salesforce Inc,CRM,7/5/2022,5,Active,305,Medium,Standard,7/5/2022,Wide,Positive,No,No,No,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,263.26,,,7/5/2022,B,D,B,0,454.56,7,,,,,11.38,213.5,411.75
SBA Communications Corp,SBAC,7/5/2022,2,Active,245,High,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,Yes,7/5/2022,2,7/5/2022,Narrow,Overvalued,High,Moderate,288.35,,,7/5/2022,C,,B,0,838.66,1,,,,,44.34,147,379.75
Schlumberger Ltd,SLB,7/5/2022,4,Active,49,High,Exemplary,7/5/2022,Narrow,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,42.09,,,7/5/2022,D,F,C,0,488.34,7,,,,,95.43,29.4,75.95
Seagate Technology Holdings PLC,STX,7/5/2022,3,Active,80,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,89.03,,,7/5/2022,C,A,C,0,386.49,6,,,,,62.81,48,124
Sealed Air Corp,SEE,,,,,,,10/18/2021,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,61.9,,,7/5/2022,C,,B,0,483.41,8,,,,,74.05,,
Sempra Energy,SRE,7/5/2022,3,Active,144,Medium,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Low,Moderate,146.01,,,7/5/2022,C,C,B,0,746.19,6,,,,,84.32,100.8,194.4
ServiceNow Inc,NOW,7/5/2022,5,Active,700,Medium,Exemplary,7/5/2022,Wide,Positive,No,No,No,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,637.07,,,7/5/2022,B,B,B,0,554.98,5,,,,,21.66,490,945
Sherwin-Williams Co,SHW,7/5/2022,2,Active,197,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,246.78,,,7/5/2022,C,A,B,0,499.59,7,,,,,25.85,137.9,265.95
Signature Bank,SBNY,,,,,,,11/13/2017,Narrow,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,285.81,,,7/5/2022,C,C,D,0.25,,10,,,,,49.43,,
Simon Property Group Inc,SPG,7/5/2022,5,Active,160,Medium,Exemplary,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,140.68,,,7/5/2022,D,A,C,0,616.35,8,,,,,40.7,112,216
Skyworks Solutions Inc,SWKS,7/5/2022,5,Active,180,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,159.61,,,7/5/2022,C,C,B,0,182.04,5,,,,,8.89,108,279
Snap-on Inc,SNA,7/5/2022,3,Active,184,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,204.77,,,7/5/2022,C,C,B,0,226.26,7,,,,,53.99,128.8,248.4
SolarEdge Technologies Inc,SEDG,7/5/2022,3,Active,254,Very High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,315.35,,,7/5/2022,B,D,C,0,356.39,4,,,,,48.81,127,444.5
Southern Co,SO,7/5/2022,2,Active,65,Low,Exemplary,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,2,7/5/2022,Wide,Fairly Valued,Low,Moderate,68.02,,,7/5/2022,C,C,B,0,711.64,7,,,,,77.08,52,81.25
Southwest Airlines Co,LUV,7/5/2022,4,Active,57,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Strong,51.2,,,7/5/2022,D,D,C,0,642.93,6,,,,,38.91,34.2,88.35
Stanley Black & Decker Inc,SWK,,,,,,,9/27/2013,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,167.68,,,7/5/2022,C,C,C,0,521.03,10,,,,,10.86,,
Starbucks Corp,SBUX,7/5/2022,4,Active,100,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,97.22,,,7/5/2022,B,,B,0,332.25,4,,,,,11.37,70,135
State Street Corporation,STT,7/5/2022,4,Active,92,High,Standard,7/5/2022,Wide,Negative,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Strong,91.93,,,7/5/2022,C,C,C,0.06,,10,,,,,33.51,55.2,142.6
Steris PLC,STE,7/5/2022,3,Active,201,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,213.73,,,7/5/2022,C,D,B,0,485.98,4,,,,,64.34,140.7,271.35
Stryker Corp,SYK,7/5/2022,3,Active,195,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,204.42,,,7/5/2022,C,C,B,0,,6,,,,,40.64,136.5,263.25
SVB Financial Group,SIVB,,,,,,,4/18/2019,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,Very High,Strong,614.35,,,7/5/2022,B,C,D,0.2,,10,,,,,27.28,,
Synchrony Financial,SYF,7/5/2022,4,Active,43,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Strong,48.78,,,7/5/2022,C,B,C,0.03,,8,,,,,19.4,25.8,66.65
Synopsys Inc,SNPS,7/5/2022,3,Active,334,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,322.32,,,7/5/2022,C,C,B,0,241.87,7,,,,,52.28,200.4,517.7
Sysco Corp,SYY,7/5/2022,3,Active,81,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Overvalued,Medium,Moderate,80.13,,,7/5/2022,C,C,B,0,594.38,6,,,,,73.43,56.7,109.35
T. Rowe Price Group Inc,TROW,7/5/2022,4,Active,155,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,171.94,,,7/5/2022,B,A,B,0,,9,,,,,5.46,108.5,209.25
Take-Two Interactive Software Inc,TTWO,7/5/2022,4,Active,200,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Strong,182.51,,,7/5/2022,B,C,B,0,301.1,7,,,,,26.66,120,310
Tapestry Inc,TPR,7/5/2022,4,Active,53,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,47.87,,,7/5/2022,C,C,C,0,359.62,9,,,,,39.32,31.8,82.15
Target Corp,TGT,7/5/2022,4,Active,171,Medium,Exemplary,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,203.65,,,7/5/2022,B,A,C,0,384.84,4,,,,,18.25,119.7,230.85
TE Connectivity Ltd,TEL,7/5/2022,3,Active,125,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,136.89,,,7/5/2022,C,D,B,0,275.68,8,,,,,33.45,75,193.75
Teledyne Technologies Inc,TDY,,,,,,,,,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,439.47,,,7/5/2022,C,D,B,0,425.92,5,,,,,48.51,,
Teleflex Inc,TFX,7/5/2022,2,Active,211,High,Poor,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,High,Moderate,255.82,,,7/5/2022,C,C,B,0,347.82,9,,,,,27.41,126.6,327.05
Teradyne Inc,TER,7/5/2022,5,Active,172,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,146.32,,,7/5/2022,B,A,B,0,136.35,9,,,,,26.65,103.2,266.6
Tesla Inc,TSLA,7/5/2022,3,Active,750,Very High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,807.04,,,7/5/2022,B,F,B,0,249.22,6,,,,,55.55,375,"1,312.50"
Texas Instruments Inc,TXN,7/5/2022,3,Active,166,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Strong,164.44,,,7/5/2022,C,A,A,0,159.49,4,,,,,40.75,116.2,224.1
Textron Inc,TXT,7/5/2022,2,Active,51,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,65.19,,,7/5/2022,C,C,B,0,424.61,9,,,,,50.08,30.6,79.05
The AES Corp,AES,7/5/2022,3,Active,21,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,Medium,Moderate,21.72,,,7/5/2022,C,F,C,0,839.83,10,,,,,45.77,14.7,28.35
The Cooper Companies Inc,COO,7/5/2022,4,Active,359,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,354.62,,,7/5/2022,C,B,B,0,345.9,7,,,,,36.39,251.3,484.65
The Estee Lauder Companies Inc Class A,EL,7/5/2022,3,Active,283,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,272.59,,,7/5/2022,C,A,B,0,303.05,8,,,,,22.22,198.1,382.05
The Goldman Sachs Group Inc,GS,7/5/2022,4,Active,430,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,Yes,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,445.67,,,7/5/2022,B,B,D,0.25,,7,,,,,27.36,258,666.5
The Hartford Financial Services Group Inc,HIG,,,,,,,4/11/2016,None,,,,,,,7/5/2022,3,7/5/2022,None,Undervalued,Medium,Moderate,70.07,,,7/5/2022,C,B,B,0,,8,,,,,64.27,,
The Hershey Co,HSY,7/5/2022,1,Active,156,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,1,7/5/2022,Wide,Overvalued,High,Strong,181.33,,,7/5/2022,C,B,B,0,370.92,6,,,,,84.59,109.2,210.6
The Home Depot Inc,HD,7/5/2022,3,Active,264,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,313.78,,,7/5/2022,B,,B,0,363.42,5,,,,,34.35,184.8,356.4
The Interpublic Group of Companies Inc,IPG,7/5/2022,4,Active,35,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,35.33,,,7/5/2022,C,C,C,0,472.81,7,,,,,45.77,21,54.25
The Kraft Heinz Co,KHC,7/5/2022,4,Active,51,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,46.53,,,7/5/2022,C,D,B,0,631.33,8,,,,,69.71,30.6,79.05
The Kroger Co,KR,7/5/2022,3,Active,47.5,Medium,Exemplary,7/5/2022,Narrow,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,Medium,Moderate,50.91,,,7/5/2022,C,C,C,0,557.02,9,,,,,81.35,33.25,64.13
The Mosaic Co,MOS,7/5/2022,3,Active,42,Very High,Standard,7/5/2022,None,Positive,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Moderate,57.38,,,7/5/2022,C,B,C,0,298.61,8,,,,,97.54,21,73.5
The Travelers Companies Inc,TRV,7/5/2022,3,Active,178,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Low,Moderate,177.5,,,7/5/2022,C,C,B,0,,7,,,,,77.46,124.6,240.3
The Walt Disney Co,DIS,7/5/2022,5,Active,170,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,159.79,,,7/5/2022,C,D,B,0,597.31,8,,,,,10.2,102,263.5
Thermo Fisher Scientific Inc,TMO,7/5/2022,3,Active,560,Medium,Exemplary,7/5/2022,Wide,Positive,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,531.81,,,7/5/2022,B,B,B,0,346.47,4,,,,,48.49,392,756
TJX Companies Inc,TJX,7/5/2022,4,Active,66,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,61.7,,,7/5/2022,C,C,B,0,352.76,4,,,,,39.73,46.2,89.1
T-Mobile US Inc,TMUS,7/5/2022,4,Active,155,Medium,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,Medium,Moderate,153.99,,,7/5/2022,C,D,B,0,687.83,5,,,,,53.32,108.5,209.25
Tractor Supply Co,TSCO,7/5/2022,2,Active,171,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,196.26,,,7/5/2022,B,A,B,0,334.94,5,,,,,60.47,119.7,230.85
Trane Technologies PLC Class A,TT,7/5/2022,3,Active,126,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,152.07,,,7/5/2022,C,C,B,0,416.03,6,,,,,15.01,75.6,195.3
TransDigm Group Inc,TDG,7/5/2022,4,Active,640,High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,578.42,,,7/5/2022,C,,B,0,721.92,9,,,,,55.36,384,992
Trimble Inc,TRMB,,,,,,,1/31/2017,Narrow,,,,,,,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,73.91,,,7/5/2022,C,C,B,0,370.69,9,,,,,14.19,,
Truist Financial Corp,TFC,7/5/2022,4,Active,64,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,64.88,,,7/5/2022,C,C,C,0.01,,8,,,,,50.27,44.8,86.4
Twitter Inc,TWTR,7/5/2022,4,Active,54.2,Very High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,53.12,,,7/5/2022,B,D,C,0,511.2,3,,,,,27.6,27.1,94.85
Tyler Technologies Inc,TYL,7/5/2022,5,Active,530,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,Very High,Moderate,438.09,,,7/5/2022,B,D,B,0,489.22,6,,,,,18.72,371,715.5
Tyson Foods Inc Class A,TSN,7/5/2022,3,Active,98,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,94.62,,,7/5/2022,C,C,B,0,284,7,,,,,83.33,58.8,151.9
U.S. Bancorp,USB,7/5/2022,4,Active,60,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,57.44,,,7/5/2022,C,C,C,0.01,,8,,,,,46.48,42,81
UDR Inc,UDR,,,,,,,1/17/2013,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,51,,,7/5/2022,C,D,B,0,634.5,6,,,,,51.65,,
Ulta Beauty Inc,ULTA,7/5/2022,2,Active,323,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,362.7,,,7/5/2022,B,A,B,0,,7,,,,,64.94,193.8,500.65
Union Pacific Corp,UNP,7/5/2022,3,Active,211,Medium,Standard,7/5/2022,Wide,Stable,Yes,Yes,No,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,219.46,,,7/5/2022,C,C,B,0,482.77,8,,,,,71.37,147.7,284.85
United Airlines Holdings Inc,UAL,7/5/2022,4,Active,57,Very High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,55.13,,,7/5/2022,D,F,C,0.05,898.83,7,,,,,49.98,28.5,99.75
United Parcel Service Inc Class B,UPS,7/5/2022,3,Active,186,Medium,Standard,7/5/2022,Wide,Negative,Yes,Yes,No,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Moderate,196.75,,,7/5/2022,C,B,B,0,321.49,7,,,,,59.26,130.2,251.1
United Rentals Inc,URI,7/5/2022,4,Active,323,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,333.06,,,7/5/2022,B,D,C,0,485.39,6,,,,,32.97,193.8,500.65
UnitedHealth Group Inc,UNH,7/5/2022,2,Active,402,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,Yes,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Strong,453.9,,,7/5/2022,C,C,A,0,410.99,1,,,,,81.88,281.4,542.7
Universal Health Services Inc Class B,UHS,,,,,,,9/14/2009,None,,,,,,,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,145.57,,,7/5/2022,C,C,C,0,411.29,9,,,,,44.18,,
Valero Energy Corp,VLO,7/5/2022,3,Active,101,Very High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,117.14,,,7/5/2022,C,D,C,0,481.64,9,,,,,97.31,50.5,176.75
Ventas Inc,VTR,7/5/2022,4,Active,69,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,60.61,,,7/5/2022,C,,B,0,732.38,7,,,,,62.25,48.3,93.15
VeriSign Inc,VRSN,7/5/2022,4,Active,215,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,195.82,,,7/5/2022,C,,B,0,,6,,,,,34.12,150.5,290.25
Verisk Analytics Inc,VRSK,,,,,,,8/23/2013,Wide,,,,,,,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,186.33,,,7/5/2022,C,C,A,0,445.64,6,,,,,39.03,,
Verizon Communications Inc,VZ,7/5/2022,4,Active,59,Medium,Standard,7/5/2022,Narrow,Stable,Yes,Yes,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,56.92,,,7/5/2022,C,D,B,0,521.15,5,,,,,52.06,41.3,79.65
Vertex Pharmaceuticals Inc,VRTX,7/5/2022,3,Active,293,High,Standard,7/5/2022,Narrow,Positive,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Strong,285.29,,,7/5/2022,A,C,A,0,138.71,3,,,,,93.11,175.8,454.15
VF Corp,VFC,7/5/2022,5,Active,66,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,62.31,,,7/5/2022,C,A,B,0,417.9,8,,,,,10.56,46.2,89.1
Viatris Inc,VTRS,7/5/2022,,Under Review,,Very High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Moderate,15.73,,,7/5/2022,D,F,C,0.01,655.96,8,,,,,36.96,,
VICI Properties Inc Ordinary Shares,VICI,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,32.46,,,7/5/2022,B,C,B,0,384.19,,,,,,53.48,,
Visa Inc Class A,V,7/5/2022,4,Active,229,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,No,Yes,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,207.02,,,7/5/2022,C,A,A,0,273.66,5,,,,,50.83,160.3,309.15
Vornado Realty Trust,VNO,7/5/2022,4,Active,43,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,43.02,,,7/5/2022,D,D,C,0,679.49,10,,,,,45.92,25.8,66.65
Vulcan Materials Co,VMC,7/5/2022,3,Active,145,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,159.52,,,7/5/2022,C,C,B,0,459.86,7,,,,,44.51,87,224.75
W.W. Grainger Inc,GWW,7/5/2022,2,Active,390,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,434.51,,,7/5/2022,C,A,A,0,282.78,7,,,,,74.41,273,526.5
Walgreens Boots Alliance Inc,WBA,7/5/2022,4,Active,48,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,52.25,,,7/5/2022,C,D,C,0,476.28,8,,,,,43.89,28.8,74.4
Walmart Inc,WMT,7/5/2022,4,Active,138,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,128.68,,,7/5/2022,C,C,B,0,468.99,3,,,,,49.06,96.6,186.3
Warner Bros.Discovery Inc Ordinary Shares - Class A,WBD,7/5/2022,5,Active,40,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,Extreme,Moderate,30.65,,,7/5/2022,C,B,C,0.04,473.61,8,,,,,25.26,24,62
Waste Management Inc,WM,7/5/2022,2,Active,124,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,1,7/5/2022,Wide,Overvalued,Medium,Moderate,129.07,,,7/5/2022,C,C,A,0,504.68,6,,,,,56.14,86.8,167.4
Waters Corp,WAT,7/5/2022,2,Active,263,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,2,7/5/2022,Wide,Overvalued,High,Moderate,303.34,,,7/5/2022,B,A,A,0,305.37,6,,,,,31.62,184.1,355.05
WEC Energy Group Inc,WEC,7/5/2022,2,Active,94,Low,Exemplary,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,1,7/5/2022,Narrow,Overvalued,Low,Moderate,93.35,,,7/5/2022,C,C,B,0,618.49,6,,,,,70.25,75.2,117.5
Wells Fargo & Co,WFC,7/5/2022,5,Active,58,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,55.14,,,7/5/2022,C,D,C,0.01,,7,,,,,62.4,40.6,78.3
Welltower OP LLC,WELL,7/5/2022,4,Active,97,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,92.22,,,7/5/2022,C,D,B,0,592.11,5,,,,,67.27,67.9,130.95
West Pharmaceutical Services Inc,WST,7/5/2022,3,Active,280,High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Strong,291.72,,,7/5/2022,B,B,B,0,146.16,9,,,,,18.86,168,434
Western Digital Corp,WDC,7/5/2022,4,Active,70,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,65.06,,,7/5/2022,D,C,C,0,377.25,10,,,,,30.49,42,108.5
Westinghouse Air Brake Technologies Corp,WAB,,,,,,,,,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,92.76,,,7/5/2022,C,D,B,0,502.47,10,,,,,62.48,,
