Name,Ticker,SEC CIK,Exchange,Exchange Country,Business Country,Company Name,Company Id,SecId,CUSIP,ISIN,Industry,"Return Date 
(Daily)",Last Close,"Market Cap (mil) 
(Daily) 
USD",Earnings Yield (Daily),P/E Ratio (TTM) (Long),"Price 52 Wk High 
USD","Price 52 Wk Low 
USD",Price/Fair Value,"Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,Dividend Declare Date,Dividend Record Date,Dividend Payable Date,"Grossed Up Dividend 
Amount",Dividend Yield % TTM,"Grossed Up Dividend 
Yield % TTM",Forward Dividend Yield %,Earnings Yield % TTM,Forward Earnings Yield %,Current Return %,Date: Inc Statement TTM,EPS TTM,"Revenue (mil) 
TTM 
USD","Net Income (mil) 
TTM 
USD","Dividend per Share 
TTM 
USD","Base 
Currency",Primary Share,Primary Share for Company,Sector,NAICS,SIC,Hemscott Industry,GICS Sub-Industry,GICS Industry,GICS Industry Group,GICS Sector,Russell Sector,Russell Sub-Sector,Russell Industry,MSCI Country,"Equity 
Style Box (Long)",Stock Type,Analyst Name,Analysis Date,Security Type,"Equity Profile 
Report Date",IPO Date,IPO Offer Price,"Note Effective 
Date",Delisting Date,Delisting Reason,"India Market 
Cap Date",India Market Cap,Indian Stock Category,ICB Industry,ICB Supersector,ICB Sector,ICB Subsector,Market Industry Code - JP,Market Industry Name - JP,Local Short Trading Name,Local Legal Trading Name,"ESG Risk 
Rating Assessment",Submarket,ADR
American Tower Corp,AMT,1053507,"New York Stock Exchange, Inc.",United States,United States,American Tower Corp,0C00000AA6,0P000000ED,,,REIT - Specialty,7/5/2022,255.94,"118,934.66",0.02,44.3,303.72,220,1.22,6/16/2022,1.43,,5/19/2022,6/17/2022,7/8/2022,,2.16,,2.23,2.25,1.7,-0.95,3/31/2022,5.77,"9,858.70","2,634.40",3.97,US Dollar,Yes,Yes,Real Estate,";;;Trust, Fiduciary, and Custody Activities;;",";;TRUSTS, EXCEPT EDUCATIONAL, RELIGIOUS, & CHARITABL;;",,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Infrastructure,,Large Growth,Hard Assets,"Matthew Dolgin, CFA",4/27/2022,Common Stock,,2/27/1998,,,,,,,,,,,,,,,,,,No
American Water Works Co Inc,AWK,1410636,"New York Stock Exchange, Inc.",United States,United States,American Water Works Co Inc,0C00000QR4,0P00009JO7,,,Utilities - Regulated Water,7/5/2022,149.65,"27,199.38",0.05,20.98,189.65,129.45,1.14,5/9/2022,0.66,"[1985-03-04]	1.000000	2.000000;[1987-05-29]	1.000000	2.000000;[1996-07-26]	1.000000	2.000000;",4/27/2022,5/10/2022,6/1/2022,,1.65,,1.75,4.74,2.98,-2.46,3/31/2022,7.09,"3,884.00","1,288.00",2.41,US Dollar,Yes,Yes,Utilities,Water Supply and Irrigation Systems,WATER SUPPLY,,,,,,Utilities,Utilities,Utilities: Water,,Mid Blend,Classic Growth,"Andrew Bischof, CFA, CPA",5/2/2022,Common Stock,,12/15/1947,,,,,,,,,,,,,,,,,,No
Ameriprise Financial Inc,AMP,820027,"New York Stock Exchange, Inc.",United States,United States,Ameriprise Financial Inc,0C00000AAM,0P000000EP,,,Asset Management,7/5/2022,235.31,"25,861.63",0.11,9.15,332.37,228.83,0.7,5/6/2022,1.25,,4/25/2022,5/9/2022,5/20/2022,,1.97,,2.12,11.04,10.66,-1.12,3/31/2022,25.97,"13,807.00","3,084.00",4.52,US Dollar,Yes,Yes,Financial Services,Investment Advice,INVESTMENT ADVICE,,,,,,Financial Services,Investment Banking & Brokerage,Diversified financial services,,Mid Blend,Cyclical,"Michael Wong, CFA, CPA",4/4/2022,Common Stock,,9/15/2005,,,,,,,,,,,,,,,,,,No
AmerisourceBergen Corp,ABC,1140859,"New York Stock Exchange, Inc.",United States,United States,AmerisourceBergen Corp,0C00000AAR,0P000000ER,,,Medical Distribution,7/5/2022,140.71,"29,473.69",0.06,17.27,167.19,111.34,0.91,5/13/2022,0.46,"[1999-03-25]	1.000000	2.000000;[2005-12-29]	1.000000	2.000000;[2009-06-16]	1.000000	2.000000;",5/4/2022,5/16/2022,5/31/2022,,1.29,,1.31,5.82,8.24,-1.7,3/31/2022,8.19,"229,666.37","1,726.94",1.8,US Dollar,Yes,Yes,Healthcare,Drugs and Druggists' Sundries Merchant Wholesalers,"DRUGS, DRUG PROPRIETARIES, & DRUGGISTS' SUNDRIES",,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Mid Value,Classic Growth,"Karen Andersen, CFA",6/14/2022,Common Stock,,4/4/1995,,,,,,,,,,,,,,,,,,No
AMETEK Inc,AME,1037868,"New York Stock Exchange, Inc.",United States,United States,AMETEK Inc,0C00000AB0,0P000000EZ,,,Specialty Industrial Machinery,7/5/2022,111.4,"25,723.38",0.04,24.53,148.07,106.17,0.82,6/9/2022,0.22,"[1979-12-26]	1.000000	2.000000;[1983-07-18]	1.000000	2.000000;[1987-11-20]	1.000000	2.000000;[2004-03-01]	1.000000	2.000000;[2006-11-28]	2.000000	3.000000;[2010-12-22]	2.000000	3.000000;[2012-07-02]	2.000000	3.000000;",5/6/2022,6/10/2022,6/30/2022,,0.75,,0.79,4.02,4.85,-0.05,3/31/2022,4.48,"5,789.30","1,043.27",0.82,US Dollar,Yes,Yes,Industrials,Other Industrial Machinery Manufacturing;;;;,MOTORS & GENERATORS;;;,,,,,,Producer Durables,Scientific Instruments & Services,Scientific instruments: Gauges and meters,,Mid Blend,Cyclical,Joshua Aguilar,5/3/2022,Common Stock,,7/1/1930,,,,,,,,,,,,,,,,,,No
Amgen Inc,AMGN,318154,Nasdaq - All Markets,United States,United States,Amgen Inc,0C00000AB1,0P000000F0,,,Drug Manufacturers - General,7/5/2022,246.73,"131,803.15",0.04,24.02,258.45,198.64,0.95,5/16/2022,1.94,"[1990-08-13]	1.000000	2.000000;[1991-09-11]	1.000000	3.000000;[1995-08-16]	1.000000	2.000000;[1999-03-01]	1.000000	2.000000;[1999-11-22]	1.000000	2.000000;",3/2/2022,5/17/2022,6/8/2022,,3,,3.15,4.11,7.2,0.48,3/31/2022,10.13,"26,316.00","5,723.00",7.22,US Dollar,Yes,Yes,Healthcare,Pharmaceutical Preparation Manufacturing;;;,PHARMACEUTICAL PREPARATIONS;;;,,,,,,Healthcare,Pharmaceuticals & Biotech,Biotechnology,,Large Value,Classic Growth,"Karen Andersen, CFA",6/3/2022,Common Stock,5/11/2012,6/17/1983,,,,,,,,,,,,,,,,,,No
Amphenol Corp Class A,APH,820313,"New York Stock Exchange, Inc.",United States,United States,Amphenol Corp,0C00000ABC,0P000000F7,,,Electronic Components,7/5/2022,63.95,"38,187.01",0.04,24.2,88.45,61.67,0.77,6/17/2022,0.2,"[2000-04-26]	1.000000	2.000000;[2004-03-30]	1.000000	2.000000;[2007-04-02]	1.000000	2.000000;[2014-10-10]	1.000000	2.000000;",5/4/2022,6/21/2022,7/13/2022,,1.16,,1.25,4.16,4.38,0.31,3/31/2022,2.69,"11,451.10","1,686.90",0.69,US Dollar,Yes,Yes,Technology,;Other Communication and Energy Wire Manufacturing;,;;ELECTRONIC CONNECTORS;,,,,,,Technology,Electronics,Electronic components,,Large Blend,Cyclical,William Kerwin,6/13/2022,Common Stock,,11/8/1991,,,,,,,,,,,,,,,,,,No
Analog Devices Inc,ADI,6281,Nasdaq - All Markets,United States,United States,Analog Devices Inc,0C00000ABQ,0P000000FH,,,Semiconductors,7/5/2022,143.07,"74,368.65",0.02,44.4,191.95,138.5,0.83,5/27/2022,0.76,"[1979-05-25]	1.000000	2.000000;[1980-04-16]	4.000000	5.000000;[1981-04-07]	4.000000	5.000000;[1982-04-13]	4.000000	5.000000;[1983-04-05]	2.000000	3.000000;[1984-04-17]	3.000000	4.000000;[1985-04-16]	4.000000	5.000000;[1986-04-15]	3.000000	4.000000;[1995-01-05]	2.000000	3.000000;[1996-01-04]	2.000000	3.000000;[1997-01-07]	3.000000	4.000000;[2000-03-16]	1.000000	2.000000;",5/18/2022,5/31/2022,6/9/2022,,2.03,,2.12,2.3,7.15,0.11,4/30/2022,3.29,"9,754.78","1,642.35",2.83,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing;;,;;;SEMICONDUCTORS & RELATED DEVICES;,,,,,,Technology,Electronics,Semiconductors and components,,Large Blend,Cyclical,"Brian Colello, CPA",11/23/2021,Common Stock,5/11/2012,4/3/1979,,,,,,,,,,,,,,,,,,No
Ansys Inc,ANSS,1013462,Nasdaq - All Markets,United States,United States,Ansys Inc,0C00000ACL,0P000000GC,,,Software - Application,7/5/2022,245.19,"21,329.11",0.02,46.46,413.89,225.92,1.01,,,"[2004-10-05]	1.000000	2.000000;[2007-06-05]	1.000000	2.000000;",,,,,,,,2.1,3.16,2.08,3/31/2022,5.15,"1,968.57",453.22,,US Dollar,Yes,Yes,Technology,Software Publishers,PREPACKAGED SOFTWARE,,,,,,Technology,Information Technology,Computer services software and systems,,Mid Growth,Slow Growth,Julie Bhusal Sharma,2/24/2022,Common Stock,5/11/2012,6/20/1996,,,,,,,,,,,,,,,,,,No
Aon PLC Class A,AON,315293,"New York Stock Exchange, Inc.",United States,United States,Aon PLC,0C00000ACS,0P000000GK,,IE00BLP1HW54,Insurance Brokers,7/5/2022,275.97,"58,611.59",0.02,42.94,341.98,223.19,1.1,4/29/2022,0.56,"[1987-05-27]	1.000000	2.000000;[1994-05-17]	2.000000	3.000000;[1997-05-15]	2.000000	3.000000;[1999-05-18]	2.000000	3.000000;",4/14/2022,5/2/2022,5/13/2022,,0.76,,0.81,2.28,4.77,0.75,3/31/2022,6.28,"12,338.00","1,365.00",2.04,US Dollar,Yes,Yes,Financial Services,;;Direct Property and Casualty Insurance Carriers;;;;;,";;INSURANCE AGENTS, BROKERS & SERVICE;;;;;",,,,,,Financial Services,Insurance,Insurance: Multi-line,,Large Blend,,"Brett Horn, CFA",3/9/2022,Common Stock,,9/7/1984,,,,,,,,,,,,,,,,,,No
APA Corp,APA,1841666,Nasdaq - All Markets,United States,United States,APA Corp,0C00000ACX,0P000000GL,,,Oil & Gas E&P,7/5/2022,32.73,"11,070.35",0.21,4.99,51.95,15.55,0.94,7/21/2022,0.13,"[1978-05-15]	2.000000	3.000000;[1979-05-15]	3.000000	4.000000;[1980-05-15]	2.000000	3.000000;[1981-02-20]	2.000000	3.000000;[2004-01-15]	1.000000	2.000000;",5/12/2022,7/22/2022,8/22/2022,,1.03,,1.53,21.39,29.59,-7.41,3/31/2022,7,"8,783.00","2,541.00",0.24,US Dollar,Yes,Yes,Energy,;Crude Petroleum Extraction;,CRUDE PETROLEUM & NATURAL GAS,,,,,,Energy,Non-renewable Energy,Oil: Crude producers,,Mid Value,Hard Assets,"Dave Meats, CFA",5/12/2022,Common Stock,,5/27/1969,,,,,,,,,,,,,,,,,,No
Apple Inc,AAPL,320193,Nasdaq - All Markets,United States,United States,Apple Inc,0C00000ADA,0P000000GY,,,Consumer Electronics,7/5/2022,141.56,"2,291,174.22",0.04,22.23,182.94,129.04,1.09,5/6/2022,0.23,"[1987-06-16]	1.000000	2.000000;[2000-06-21]	1.000000	2.000000;[2005-02-28]	1.000000	2.000000;[2014-06-09]	1.000000	7.000000;[2020-08-31]	1.000000	4.000000;",4/28/2022,5/9/2022,5/12/2022,,0.63,,0.65,4.34,4.48,1.89,3/31/2022,6.15,"386,017.00","101,935.00",0.88,US Dollar,Yes,Yes,Technology,;Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing;;,ELECTRONIC COMPUTERS;;;,,,,,,Technology,Information Technology,Computer technology,,Large Growth,Cyclical,"Abhinav Davuluri, CFA",1/27/2022,Common Stock,5/11/2012,12/12/1980,,,,,,,,,,,,,,,,,,No
Applied Materials Inc,AMAT,6951,Nasdaq - All Markets,United States,United States,Applied Materials Inc,0C00000ADK,0P000000H9,,,Semiconductor Equipment & Materials,7/5/2022,86,"74,815.47",0.09,12.16,167.06,82.67,0.61,8/24/2022,0.26,"[1980-04-02]	2.000000	3.000000;[1981-02-06]	2.000000	3.000000;[1986-05-16]	1.000000	2.000000;[1992-04-07]	1.000000	2.000000;[1993-10-06]	1.000000	2.000000;[1995-10-13]	1.000000	2.000000;[1997-10-14]	1.000000	2.000000;[2000-03-16]	1.000000	2.000000;[2002-04-17]	1.000000	2.000000;",6/9/2022,8/25/2022,9/15/2022,,1.14,,1.21,8.7,10.2,-0.31,4/30/2022,7.48,"24,835.00","6,756.00",0.96,US Dollar,Yes,Yes,Technology,;Other Electronic Component Manufacturing;,SEMICONDUCTORS & RELATED DEVICES;;,,,,,,Technology,Electronics,Production technology equipment,,Large Blend,Cyclical,"Abhinav Davuluri, CFA",11/18/2021,Common Stock,5/11/2012,10/12/1972,,,,,,,,,,,,,,,,,,No
Aptiv PLC,APTV,1521332,"New York Stock Exchange, Inc.",United States,United States,Aptiv PLC,0C00008SBV,0P0000UNII,,JE00B783TY65,Auto Parts,7/5/2022,90.63,"24,554.47",0.01,75.48,180.81,84.14,0.64,2/4/2020,0.22,,1/23/2020,2/5/2020,2/19/2020,,,,,1.3,4.41,-0.9,3/31/2022,1.18,"15,773.00",384,0,US Dollar,Yes,Yes,Consumer Cyclical,Other Motor Vehicle Parts Manufacturing;;,MOTOR VEHICLE PARTS & ACCESSORIES,,,,,,Consumer Discretionary,Auto & Auto Parts,Auto parts,,Mid Blend,,Richard Hilgert,5/5/2022,Common Stock,,11/17/2011,,,,,,,,,,,,,,,,,,No
Archer-Daniels Midland Co,ADM,7084,"New York Stock Exchange, Inc.",United States,United States,Archer-Daniels Midland Co,0C00000AEB,0P000000I0,,,Farm Products,7/5/2022,72.38,"40,728.79",0.08,14.29,98.88,56.91,1.11,5/17/2022,0.4,"[1972-12-04]	1.000000	2.000000;[1973-12-03]	1.000000	2.000000;[1975-12-11]	2.000000	3.000000;[1981-03-23]	2.000000	3.000000;[1986-06-03]	2.000000	3.000000;[1989-12-05]	2.000000	3.000000;[1994-12-06]	2.000000	3.000000;",5/4/2022,5/18/2022,6/8/2022,,2.13,,2.21,7.5,7.79,-5.27,3/31/2022,5.43,"90,006.00","3,074.00",1.51,US Dollar,Yes,Yes,Consumer Defensive,;;;;;Soybean and Other Oilseed Processing;;;;;,";;;;;VEGETABLE OIL MILLS, N.E.C.;;;;;",,,,,,Consumer Staples,"Food, Beverage & Tobacco",Fruit and grain processing,,Large Value,Classic Growth,"Seth Goldstein, CFA",4/26/2022,Common Stock,,9/10/1945,,,,,,,,,,,,,,,,,,No
Arista Networks Inc,ANET,1596532,"New York Stock Exchange, Inc.",United States,United States,Arista Networks Inc,0C0000AN8S,0P0001354B,,,Computer Hardware,7/5/2022,96.15,"29,639.54",0.03,32.21,148.57,85.18,0.92,,,"[2021-11-18]	1.000000	4.000000",,,,,,,,3.03,3.92,2.93,3/31/2022,2.91,"3,157.54",932.75,,US Dollar,Yes,Yes,Technology,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,"COMPUTER PERIPHERAL EQUIPMENT, N.E.C.",,,,,,Technology,Information Technology,Computer services software and systems,,Mid Growth,Cyclical,"Brian Colello, CPA",6/10/2022,Common Stock,,6/6/2014,43,,,,,,,,,,,,,,,,,No
Arthur J. Gallagher & Co,AJG,354190,"New York Stock Exchange, Inc.",United States,United States,Arthur J. Gallagher & Co,0C00000AFN,0P000000JC,,,Insurance Brokers,7/5/2022,166.07,"34,885.99",0.03,36.23,187.02,135.5,,6/2/2022,0.51,"[1986-07-16]	1.000000	2.000000;[2000-03-16]	1.000000	2.000000;[2001-01-19]	1.000000	2.000000;",4/27/2022,6/3/2022,6/17/2022,,1.19,,1.23,2.71,4.65,0.87,3/31/2022,4.5,"8,463.50",963.4,1.95,US Dollar,Yes,Yes,Financial Services,Insurance Agencies and Brokerages;;,"INSURANCE AGENTS, BROKERS & SERVICE;;",,,,,,Financial Services,Insurance,Insurance: Multi-line,,Large Blend,Cyclical,,,Common Stock,,12/1/1987,,,,,,,,,,,,,,,,,,No
Assurant Inc,AIZ,1267238,"New York Stock Exchange, Inc.",United States,United States,Assurant Inc,0C00000AGJ,0P000000K5,,,Insurance - Specialty,7/5/2022,172.57,"9,333.46",0.06,16.65,194.12,144.18,,5/27/2022,0.68,,5/12/2022,5/31/2022,6/20/2022,,1.56,,1.58,6.01,6.48,-1.39,3/31/2022,22.78,"10,237.70","1,354.90",2.68,US Dollar,Yes,Yes,Financial Services,;All Other Insurance Related Activities;;;,";;INSURANCE AGENTS, BROKERS & SERVICE;;",,,,,,Financial Services,Insurance,Insurance: Multi-line,,Mid Blend,Classic Growth,,,Common Stock,,2/5/2004,,,,,,,,,,,,,,,,,,No
AT&T Inc,T,732717,"New York Stock Exchange, Inc.",United States,United States,AT&T Inc,0C00000AGU,0P00000031,,,Telecom Services,7/5/2022,21.17,"151,556.03",0.11,8.77,22.14,16.62,0.85,7/8/2022,0.28,"[1987-05-26]	1.000000	3.000000;[1993-05-26]	1.000000	2.000000;[1998-03-20]	1.000000	2.000000;",6/28/2022,7/11/2022,8/1/2022,,8.68,,5.24,11.29,12.35,-0.66,3/31/2022,2.39,"163,030.00","17,341.00",1.56,US Dollar,Yes,Yes,Communication Services,;;Wireless Telecommunications Carriers (except Satellite);;,";;COMMUNICATIONS SERVICES, N.E.C.;;",,,,,,Utilities,Utilities,Utilities: Telecommunications,,Large Value,High Yield,"Michael Hodel, CFA",4/21/2022,Common Stock,,11/1/1946,,,,,,,,,,,,,,,,,,No
Atmos Energy Corp,ATO,731802,"New York Stock Exchange, Inc.",United States,United States,Atmos Energy Corp,0C00000AHG,0P000000KX,,,Utilities - Regulated Gas,7/5/2022,110.61,"15,376.45",0.05,20.95,122.96,85.8,1.08,5/20/2022,0.68,"[1985-06-13]	1.000000	2.000000;[1994-05-17]	2.000000	3.000000;",5/4/2022,5/23/2022,6/6/2022,,2.41,,2.46,4.84,5.37,-3.94,3/31/2022,5.35,"3,836.54",725.34,2.61,US Dollar,Yes,Yes,Utilities,Natural Gas Distribution,;NATURAL GAS DISTRIBUTION;;,,,,,,Utilities,Utilities,Utilities: Gas distributors,,Mid Blend,Classic Growth,"Andrew Bischof, CFA, CPA",5/10/2022,Common Stock,,12/28/1983,,,,,,,,,,,,,,,,,,No
Autodesk Inc,ADSK,769397,Nasdaq - All Markets,United States,United States,Autodesk Inc,0C00000AI4,0P000000LM,,,Software - Application,7/5/2022,176.9,"38,435.45",0.01,77.81,344.39,163.2,0.77,3/22/2005,0.02,"[1987-03-30]	1.000000	3.000000;[1994-10-31]	1.000000	2.000000;[2002-04-19]	1.000000	2.000000;[2004-12-21]	1.000000	2.000000;",2/10/2005,3/25/2005,4/8/2005,,,,,1.25,3.7,1.75,4/30/2022,2.21,"4,567.40",487,0,US Dollar,Yes,Yes,Technology,Software Publishers,PREPACKAGED SOFTWARE,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Speculative Growth,Julie Bhusal Sharma,3/23/2022,Common Stock,5/11/2012,7/1/1985,,,,,,,,,,,,,,,,,,No
Automatic Data Processing Inc,ADP,8670,Nasdaq - All Markets,United States,United States,Automatic Data Processing Inc,0C00000AI7,0P000000LO,,,Staffing & Employment Services,7/5/2022,212.48,"88,762.91",0.03,30.98,248.96,192.26,0.93,6/9/2022,1.04,"[1976-07-02]	1.000000	2.000000;[1981-05-22]	1.000000	2.000000;[1986-06-09]	1.000000	2.000000;[1991-05-01]	1.000000	2.000000;[1996-01-02]	1.000000	2.000000;[1999-01-04]	1.000000	2.000000;",4/6/2022,6/10/2022,7/1/2022,,1.91,,1.96,3.19,3.54,-0.35,3/31/2022,6.78,"15,679.40","2,861.60",3.94,US Dollar,Yes,Yes,Industrials,;All Other Business Support Services;,COMPUTER PROCESSING & DATA PREPARATION SERVICES;;,,,,,,Producer Durables,Commercial Services,"Back office support, HR & consulting",,Large Blend,Cyclical,Emma Williams,4/27/2022,Common Stock,5/11/2012,1/31/1968,,,,,,,,,,,,,,,,,,No
AutoZone Inc,AZO,866787,"New York Stock Exchange, Inc.",United States,United States,AutoZone Inc,0C00000AI9,0P000000LK,,,Specialty Retail,7/5/2022,"2,140.39","41,711.06",0.05,19.14,"2,267.40","1,503.30",1.21,,,"[1992-02-03]	1.000000	2.000000;[1994-04-21]	1.000000	2.000000;",,,,,,,,5.25,5.86,-0.9,5/31/2022,112.29,"15,817.36","2,405.33",,US Dollar,Yes,Yes,Consumer Cyclical,Automotive Parts and Accessories Stores,AUTOMOBILES & OTHER MOTOR VEHICLES;;,,,,,,Consumer Discretionary,Retail,Specialty retail,,Large Blend,Cyclical,"Zain Akbari, CFA",6/29/2022,Common Stock,,4/2/1991,,,,,,,,,,,,,,,,,,No
AvalonBay Communities Inc,AVB,915912,"New York Stock Exchange, Inc.",United States,United States,AvalonBay Communities Inc,0C00000AIG,0P000000LX,,,REIT - Residential,7/5/2022,194.21,"27,154.10",0.04,24.16,259.05,183.35,0.83,6/29/2022,1.59,,5/19/2022,6/30/2022,7/15/2022,,3.27,,3.27,4.14,2.38,-1.04,3/31/2022,8.04,"2,357.64","1,124.12",6.36,US Dollar,Yes,Yes,Real Estate,Lessors of Residential Buildings and Dwellings;;;,REAL ESTATE INVESTMENT TRUSTS;;,,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Residential,,Mid Blend,Hard Assets,"Kevin Brown, CFA",2/3/2022,Common Stock,,3/10/1994,,,,,,,,,,,,,,,,,,No
Avery Dennison Corp,AVY,8818,"New York Stock Exchange, Inc.",United States,United States,Avery Dennison Corp,0C00000AIP,0P000000M6,,,Business Equipment & Supplies,7/5/2022,163.11,"13,328.42",0.05,18.56,229.24,151.62,1.17,5/31/2022,0.75,"[1983-12-29]	1.000000	2.000000;[1987-03-17]	1.000000	2.000000;[1996-12-23]	1.000000	2.000000;",4/29/2022,6/1/2022,6/15/2022,,1.71,,1.84,5.35,5.79,-0.81,3/31/2022,8.72,"8,706.30",728.8,2.72,US Dollar,Yes,Yes,Industrials,;;;;;;;All Other Miscellaneous General Purpose Machinery Manufacturing;;,";;;;;;;OFFICE MACHINES, N.E.C.;;",,,,,,Materials & Processing,Industrial Materials & Processes,Diversified materials and processing,,Mid Blend,Cyclical,Spencer Liberman,6/14/2022,Common Stock,,4/4/1977,,,,,,,,,,,,,,,,,,No
Baker Hughes Co Class A,BKR,1701605,Nasdaq - All Markets,United States,United States,Baker Hughes Co,0C0000BA3H,0P0001B8AV,,,Oil & Gas Equipment & Services,7/5/2022,28.2,"27,765.05",0.01,68.74,39.78,19.23,0.91,5/27/2022,0.18,,5/13/2022,5/31/2022,6/10/2022,,2.55,,2.55,1.49,4.66,-3.06,3/31/2022,0.42,"20,555.00",305,0.72,US Dollar,Yes,Yes,Energy,Support Activities for Oil and Gas Operations,"OIL & GAS FIELD SERVICES, N.E.C.",,,,,,Energy,Energy Equipment & Services,Oil well equipment and services,,Mid Growth,Hard Assets,Preston Caldwell,3/14/2022,Common Stock,,7/5/2017,,,,,,,,,,,,,,,,,,No
Ball Corp,BALL,9389,"New York Stock Exchange, Inc.",United States,United States,Ball Corp,0C000006TG,0P000000OM,,,Packaging & Containers,7/5/2022,70.03,"22,394.82",0.05,20.11,98.09,62.9,1.11,5/31/2022,0.2,"[1982-10-04]	1.000000	2.000000;[1985-10-02]	1.000000	2.000000;[2002-02-25]	1.000000	2.000000;[2004-08-24]	1.000000	2.000000;[2011-02-16]	1.000000	2.000000;[2017-05-17]	1.000000	2.000000;",4/27/2022,6/1/2022,6/15/2022,,1.14,,1.14,4.88,5.68,-1.27,3/31/2022,3.42,"14,402.00","1,124.00",0.75,US Dollar,Yes,Yes,Consumer Cyclical,;;;Metal Can Manufacturing;;,;;;METAL CANS;;;;,,,,,,Materials & Processing,Industrial Materials & Processes,Containers and packaging,,Mid Blend,Cyclical,Spencer Liberman,5/5/2022,Common Stock,,12/17/1973,,,,,,,,,,,,,,,,,,No
Bank of America Corp,BAC,70858,"New York Stock Exchange, Inc.",United States,United States,Bank of America Corp,0C000006U3,0P000000PA,,,Banks - Diversified,7/5/2022,31.24,"251,696.98",0.11,8.87,50.11,30.45,0.76,6/2/2022,0.21,"[1986-11-21]	1.000000	2.000000;[1997-02-28]	1.000000	2.000000;[2004-08-30]	1.000000	2.000000;",4/27/2022,6/3/2022,6/24/2022,,2.69,,2.69,11.24,10.48,-1.01,3/31/2022,3.51,"89,520.00","30,995.00",0.81,US Dollar,Yes,Yes,Financial Services,Commercial Banking;;;;;;,NATIONAL COMMERCIAL BANKS;;;;;,,,,,,Financial Services,Banks,Banks: Diversified,,Large Value,Cyclical,"Eric Compton, CFA",4/26/2022,Common Stock,,1/2/1973,,,,,,,,,,,,,,,,,,No
Bank of New York Mellon Corp,BK,1390777,"New York Stock Exchange, Inc.",United States,United States,Bank of New York Mellon Corp,0C000006UA,0P000000PH,,,Asset Management,7/5/2022,42.08,"33,992.15",0.1,10.35,64.63,40.26,0.75,4/27/2022,0.34,"[1983-10-11]	1.000000	2.000000;[1986-11-07]	2.000000	3.000000;[1994-05-16]	1.000000	2.000000;[1996-08-09]	1.000000	2.000000;[1998-08-14]	1.000000	2.000000;",4/18/2022,4/28/2022,5/11/2022,,3.23,,3.23,9.58,10.6,-0.8,3/31/2022,4.03,"15,633.00","3,605.00",1.33,US Dollar,Yes,Yes,Financial Services,;Portfolio Management;;,;INVESTMENT ADVICE;;,,,,,,Financial Services,Investment Banking & Brokerage,Diversified financial services,,Mid Value,Cyclical,"Rajiv Bhatia, CFA",6/2/2022,Common Stock,,12/4/1969,,,,,,,,,,,,,,,,,,No
Bath & Body Works Inc,BBWI,701985,"New York Stock Exchange, Inc.",United States,United States,Bath & Body Works Inc,0C0000083Y,0P000003AV,,,Specialty Retail,7/5/2022,27.74,"6,345.12",0.15,6.32,82,25.75,0.32,6/2/2022,0.2,"[1975-10-15]	1.000000	2.000000;[1976-06-28]	2.000000	3.000000;[1977-06-20]	1.000000	2.000000;[1978-05-22]	2.000000	3.000000;[1982-11-23]	1.000000	2.000000;[1983-06-14]	1.000000	2.000000;[1985-06-26]	1.000000	2.000000;[1986-06-24]	2.000000	3.000000;[1990-06-20]	1.000000	2.000000;[2000-05-31]	1.000000	2.000000;",5/13/2022,6/3/2022,6/17/2022,,2.52,,2.88,15.36,14.87,-0.5,4/30/2022,4.55,"7,862.00","1,211.00",0.65,US Dollar,Yes,Yes,Consumer Cyclical,;Other Direct Selling Establishments;,";MISCELLANEOUS RETAIL STORES, N.E.C.;",,,,,,Consumer Discretionary,Retail,Specialty retail,,Mid Value,Cyclical,"Jaime M. Katz, CFA",5/23/2022,Common Stock,,3/17/1992,,,,,,,,,,,,,,,,,,No
Baxter International Inc,BAX,10456,"New York Stock Exchange, Inc.",United States,United States,Baxter International Inc,0C000006V2,0P000000QB,,,Medical Instruments & Supplies,7/5/2022,65.39,"32,925.74",0.03,30.73,89.7,63.25,0.73,6/2/2022,0.29,"[1981-11-09]	1.000000	2.000000;[1983-11-18]	1.000000	2.000000;[2001-05-31]	1.000000	2.000000;",5/3/2022,6/3/2022,7/1/2022,,1.73,,1.77,3.2,6.5,-0.15,3/31/2022,2.09,"13,545.00","1,057.00",1.12,US Dollar,Yes,Yes,Healthcare,;Surgical and Medical Instrument Manufacturing;;,;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS;;,,,,,,Healthcare,Medical Equipment And Services,Medical equipment,,Mid Blend,Classic Growth,"Julie Utterback, CFA",2/24/2022,Common Stock,,5/15/1961,,,,,,,,,,,,,,,,,,No
